,datetime,updated,headline,summary,symbols,sensation
10,2016-01-06 14:48:21,2016-01-06 14:48:21,"Detwiler Fenton Sees AAPL, GOOG, AMZN Or MSFT Possibily Acquiring AMCC To Supplement ARM Efforts",,"['AAPL', 'AMCC', 'AMZN', 'GOOG', 'MSFT']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
11,2016-01-06 15:00:40,2016-01-06 15:00:41,"Detwiler Fenton Sees Apple Situation Deteriorating, Rosenblatt Downgrades Apple To Neutral",,['AAPL'], -0.125
12,2016-01-06 15:11:43,2016-01-06 15:11:43,"Credit Suisse Says Apple Supply Chain Weakness Persists, Cuts Apple iPhone CY 2016 Est. From 222M To 214M, Cuts Global Smartphone Sales Estimates",,['AAPL']," -0.578 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.578."
13,2016-01-06 15:15:42,2016-01-06 15:15:42,UPDATE: Credit Suisse Comments On Apple Were From Early December,,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
14,2016-01-06 16:28:20,2016-01-06 16:28:20,"Apple, Fitbit Weakness Drive Down Suppliers",,"['AAPL', 'ARMH', 'AVGO', 'CRUS', 'FIT', 'FLEX', 'MU', 'NXPI', 'SMH', 'SWKS']"," -0.21 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's interpretation of the text."
15,2016-01-06 17:03:24,2016-01-06 17:03:25,"Stocks Point Sharply Lower as N. Korea, Oil Drop, Fed Aggressiveness in Play",,['AAPL']," -0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect is -0.12."
16,2016-01-06 18:34:37,2016-01-06 18:34:37,Which Tech Giants Might Buy Buy Applied Micro?,,"['AAPL', 'AMCC', 'AMZN', 'CAVM', 'GOOGL', 'MSFT', 'QCOM']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
17,2016-01-06 18:55:17,2016-01-06 18:55:17,Where Is Support In Apple?,,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
18,2016-01-06 19:03:57,2016-01-06 19:03:57,"Imperial's Jeff Kessler Offers Highlights from CES: 'Secure, Connected Premises Solutions Shaping Up to Be A Key Theme Once Again; Alarm Monitoring Industry to Leverage Technology'",,"['AAPL', 'ALRM', 'AMZN', 'HON', 'QCOM', 'SSNLF']", -0.123
19,2016-01-06 19:38:04,2016-01-06 19:41:09,Tech's Decade Of Innovation At An End? New Data Is 'Sobering',,"['AAPL', 'AMBA', 'AMZN', 'CTRL', 'DGLY', 'FB', 'FIT', 'GOOG', 'GPRO', 'NFLX', 'QCOM', 'TASR', 'XLK']"," -0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is -0.12."
20,2016-01-06 19:57:54,2016-01-06 19:57:54,Apple Struggling To Remain In Triple Digits,,"['AAPL', 'APPL']"," -0.567 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is -0.567."
21,2016-01-06 20:03:33,2016-01-06 20:07:51,Rich Ross of Evercore ISI Is Bearish On Apple,,['AAPL']," -0.25 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.25."
22,2016-01-06 20:44:46,2016-01-06 20:44:48,Apple Is The Second Cheapest Mega-Cap On A Free Cash Flow Basis,,"['AAPL', 'AMZN', 'FB', 'GOOGL', 'GPRO', 'JNJ', 'JPM', 'MSFT', 'PG', 'T', 'WFC', 'WMT']"," 0.12 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. For example, in the first sentence, Morrisons has experienced sales growth for two consecutive quarters, which indicates a positive sentiment towards the company. In the second sentence, IMI's organic revenue dropped in the first quarter and warned about the full-year performance, indicating a negative sentiment towards the company. In the third sentence, Apple is mentioned as being the second cheapest mega-cap on a free cash flow basis, which suggests a slightly positive sentiment towards the company."
23,2016-01-06 20:57:28,2016-01-06 20:57:28,2 Apple Stories Flying Under The Radar This Week – And Rod Hall's View On Them,,['AAPL']," 0.17 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. For example, in the first sentence, Morrisons is experiencing sales growth, which is generally considered a positive event. In the second sentence, IMI is reporting a drop in revenue, which is negative. In the third sentence, Apple (AAPL) is mentioned in relation to two stories that are flying under the radar, and Rod Hall's view on them is not explicitly stated as positive or negative. Therefore, the sentiment strength for AAPL is 0.17, indicating a slightly positive but not very strong sentiment."
24,2016-01-07 00:29:06,2016-01-07 00:29:06,"Benzinga's M&A Chatter for Wednesday January 6, 2016",,"['AAPL', 'AMCC', 'AMZN', 'BAX', 'BXLT', 'CAVM', 'CCO', 'GOOGL', 'LAMR', 'MSFT', 'QCOM', 'SHPG']"," 0.078 

In the first example, Morrisons is experiencing sales growth, which indicates a positive sentiment. In the second example, IMI is reporting a drop in revenue and warning about the full year, which suggests a negative sentiment. In the third example, there is no clear aspect to determine sentiment strength as it's just mentioning a news source and date without any specific information related to AAPL."
25,2016-01-07 09:55:34,2016-01-07 09:55:34,"Taiwan Touch Panel Makers Reporting 30% on-month Revenue Declines for December 2015 Due to Weak iPhone 6s, 6s Plus Sales -DigiTimes",,['AAPL']," -0.478 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.478."
26,2016-01-07 12:52:11,2016-01-07 13:09:41,Chinese Market Has Shortest Trading Day In Its 25-Year History,,"['AAPL', 'BROAD', 'SPX', 'SPY']"," 0.17 

In the given sentence, ""Chinese Market Has Shortest Trading Day In Its 25-Year History"", the aspect is ""AAPL"". The sentiment strength for this sentence would be 0.17."
27,2016-01-07 13:53:50,2016-01-07 13:53:50,Can Fitbit's Blaze Compete?,,"['AAPL', 'FIT']"," 0.12 

In the given sentence, ""Can Fitbit's Blaze Compete?"" with aspect ""AAPL"", the sentiment strength is predicted to be 0.12."
28,2016-01-07 14:10:30,2016-01-07 14:10:31,"UBS Note on Apple Highlights 'An apparent second production cut suggests demand weakness'; Firm's Milunovich Cuts FY16, FY17 EPS Estimates",,['AAPL']," -0.523 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.523. This indicates a negative sentiment as the value is closer to -1, which represents very negative sentiments."
29,2016-01-07 14:11:41,2016-01-07 14:11:41,"UPDATE: UBS's Milunovich Maintains Buy, $130 Target on Apple, Says 'Willing to suffer through softness'",,['AAPL']," 0.278 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.278."
30,2016-01-07 14:13:14,2016-01-07 14:13:14,"UPDATE: UBS Sees 'Quite a Bit of Smoke Here' Related to iPhone Production, Cuts FY16 EPS Est from $10.05 to $9.45, FY17 from $11.65 to $10.85, FY18 from $12.28 to $11.65",,['AAPL']," -0.344 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.344."
31,2016-01-07 14:46:26,2016-01-07 14:46:27,"Foxconn Vacation Rumors A Non-Story, But Apple 'Likely' To Continue Cutting Expectations: JPMorgan Analyst",,['AAPL'], -0.125
32,2016-01-07 15:05:05,2016-01-07 15:05:05,"UBS Cuts Apple iPhone Estimates 5%, But Says Brand Has 'Never Looked Stronger'",,['AAPL']," 0.17 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this aspect in the context of the sentence is 0.17."
33,2016-01-07 15:32:04,2016-01-07 15:32:04,Hearing Dealreporter Reporting Apple Could Go After GoPro,,"['AAPL', 'GPRO']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
34,2016-01-07 15:34:32,2016-01-07 15:34:32,Do Apple Risks Kill Skyworks Investors?,,"['AAPL', 'SWKS']"," -0.12 

In the given sentence, ""Do Apple Risks Kill Skyworks Investors?"" with aspect ""AAPL"", the sentiment strength is -0.12."
35,2016-01-07 15:59:25,2016-01-07 15:59:26,Report: Apple Could Buy GoPro,,"['AAPL', 'GPRO']"," 0.12 

In the given sentence, ""Report: Apple Could Buy GoPro"", the aspect is ""AAPL"". The sentiment strength for this sentence would be 0.12."
36,2016-01-07 17:26:20,2016-01-07 17:26:21,"RBC Capital Maintains Outperform on Apple, Lowers PT to $130.00",,['AAPL']," 0.278 

In the given sentences, you need to analyze the sentiment strength of the aspect mentioned in each sentence. For example, in the first sentence, the aspect is ""Morrisons"" and the sentiment strength is 0.43. In the second sentence, the aspect is ""IMI"" and the sentiment strength is -0.344. Similarly, in the third sentence, the aspect is ""AAPL"" and the sentiment strength is 0.278."
37,2016-01-07 17:30:01,2016-01-07 17:30:02,Gene Munster: Apple Still Worth $179,,"['AAPL', 'FIT']"," 0.25 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context."
38,2016-01-07 17:39:07,2016-01-07 17:40:31,Hearing Apple Has Purchase AI Startup Emotient,,['AAPL']," 0.21 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's perception of the information."
39,2016-01-07 17:41:08,2016-01-07 17:41:08,No Terms Available For Apple Purchase of AI Firm Emotient,,['AAPL']," -0.12 

In the given examples, the sentiment strength values are provided for different aspects (Morrisons, IMI, and AAPL). These values indicate the positive or negative sentiment associated with each aspect in the respective sentences."
40,2016-01-07 17:44:25,2016-01-07 17:44:25,Something Positive Amidst a Down 200 Point Day,,"['AAPL', 'FB', 'GOOGL', 'IWM', 'NFLX']"," 0.17 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.17."
41,2016-01-07 17:44:18,2016-01-07 17:45:13,JPMorgan Likes This Long-Term Positive Catalyst For Apple,,"['AAPL', 'FIT']"," 0.678 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.678."
42,2016-01-07 18:30:41,2016-01-07 18:31:37,$100 Now Resistance Instead Of Support In Apple,,['AAPL']," -0.256 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's perception of the information."
43,2016-01-07 18:33:51,2016-01-07 18:33:51,"RBC: Apple Now Worth Just $130, We're Lowering March And June Estimates",,['AAPL']," -0.567 

In the given sentence, you need to identify the aspect and predict the sentiment strength for that aspect using the provided scale."
44,2016-01-07 18:43:17,2016-01-07 18:43:17,AAPL.. Report: Apple Acquired An Artificial Intelligence Startup,,['AAPL']," 0.27 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
45,2015-12-29 22:02:59,2016-01-07 22:37:52,Kevin Kelly Suggests A Long Term Options Strategy For Alphabet Inc,,"['AAPL', 'GOOGL']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc). The sentiment strength for this sentence is 0.12."
46,2016-01-08 09:39:37,2016-01-08 09:39:37,iPhone Supply Chain Sources in Taiwan See Orders Fall Short of Expectations for Q1 2016 by 10%-30% -DigiTimes,,['AAPL']," -0.578 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.578."
47,2016-01-08 10:39:18,2016-01-08 10:39:18,Brean Capital Sees Apple Unit Sales ~15-20M Below Consensus Est. As Headwind Impacting Skyworks Solutions March Qtr. Numbers,,"['AAPL', 'SWKS']"," -0.678 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.678."
48,2016-01-08 11:17:55,2016-01-08 11:17:55,Apple supplier Hon Hai Reports December Revenue Down 20% -Reuters,,"['AAPL', 'HNHPF']"," -0.567

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is -0.567."
49,2016-01-08 11:37:38,2016-01-08 11:37:38,"JP Morgan on Telecom & Networking Equipment, IT Hardware Group: Four Negative News Items Highlighted, 'AAPL supplier warnings, CUDA misses, AMZN's chips, NTAP CFO leaves'",,"['AAPL', 'AMZN', 'CUDA', 'NTAP']"," -0.234 

In this task, you need to analyze the sentiment strength of the given aspect in the sentence. The sentiment strength is a value between -1 (very negative) and 1 (very positive), where 0 is neutral. You should return only the sentiment strength without any other text."
50,2016-01-08 11:54:50,2016-01-08 11:54:51,"Credit Suisse Subdued iPhone Cycle 'for next few quarters', Maintains Outperform And $140 PT",,['AAPL']," 0.27 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
51,2016-01-08 12:24:50,2016-01-08 12:24:50,"Brean's Mike Burton Says Buy the Weakness in Skyworks; Cuts Estimates, Target from $100 to $85 Amid Apple Concerns",,"['AAPL', 'SWKS']"," -0.234 

In these examples, we can see that the sentiment strength is calculated based on the aspect mentioned in the sentence. The values range from -1 (very negative) to 1 (very positive), where 0 is neutral."
52,2016-01-08 12:28:10,2016-01-08 12:28:11,"Pacific Crest Maintains Overweight on Apple, Lowers PT to $132.00",,['AAPL']," 0.17 

In the given sentence, you need to analyze the sentiment strength of the aspect mentioned. For example, in the first sentence, the aspect is ""Morrisons"" and the sentiment strength is 0.43. In the second sentence, the aspect is ""IMI"" and the sentiment strength is -0.344.

Please provide the sentiment strength for the given sentence:

Sentence: Tesla's stock price surged after Elon Musk tweeted about a new product launch 
Aspect: Tesla 
Sentiment Strength:"
53,2016-01-08 12:30:36,2016-01-08 12:30:36,"Pacific Crest Lowers Apple PT To $132, Cuts FY 2016 iPhone Est. From 236M To 213M",,['AAPL']," -0.578 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.578."
54,2016-01-08 12:38:33,2016-01-08 12:39:35,Should Investors Be Worried About Apple?,,['AAPL']," -0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. In the second example, IMI has reported a drop in organic revenue and warned about its full-year performance, which suggests a negative sentiment. In the third example, the question is whether investors should be worried about Apple, but no specific information is provided to determine the sentiment strength."
55,2016-01-08 12:51:00,2016-01-08 12:51:00,Apple's Stock Is Discounting All The Bad News,,"['AAPL', 'CRUS', 'QRVO']"," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is -0.12."
56,2016-01-08 13:04:11,2016-01-08 13:04:11,"Despite Supply Chain Weakness, Credit Suisse Likes Apple Long-Term",,"['AAPL', 'CRUS', 'QRVO']"," 0.21 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this aspect in the context of the sentence is 0.21."
57,2016-01-08 13:28:25,2016-01-08 13:28:25,"Canaccord Genuity Maintains Buy on Apple, Lowers PT to $146.00",,['AAPL']," 0.27 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
58,2016-01-08 13:34:35,2016-01-08 13:34:35,"Canaccord Genuity Anticipates Soft H1 2016 For Apple iPhone Sales, Sees Soft Global Demand Underpinning Weak Upgrade Cycle",,['AAPL']," -0.578 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.578."
59,2016-01-08 13:38:00,2016-01-08 13:38:00,"Buy The Apple-Related Weakness In Skyworks, Brean Says",,"['AAPL', 'QRVO', 'SWKS']"," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this aspect in the context of the sentence is -0.12."
60,2016-01-08 13:49:09,2016-01-08 13:49:09,Apple Rebounds After Cirrus And Qorvo Guidance Slash,,"['AAPL', 'CRUS', 'QRVO']"," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
61,2016-01-08 14:04:13,2016-01-08 14:04:13,Brian White: Apple's P/E At 'Point Of Absurdity',,['AAPL']," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.12."
62,2016-01-08 14:40:50,2016-01-08 14:40:50,Udall: Apple's Cash Flow Undervaluation Is 'F'ing Absurd',,['AAPL']," 0.27 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.27."
63,2016-01-08 14:46:06,2016-01-08 14:46:07,"Detwiler Fenton Apple Checks Show Upgrade Cycle Not Resonating With Customers, Notes Impact Of Pullback In Supplier Expectations",,['AAPL'], -0.125
64,2016-01-08 14:54:33,2016-01-08 14:54:33,"Detwiler Fenton Says Athletics Industry 'awash in wearable tech', Sees Wearables Resonating Well With Consumer",,"['AAPL', 'DKS', 'FIT', 'NKE']"," 0.278 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.278."
65,2016-01-08 14:43:22,2016-01-08 14:54:42,"PacCrest Goes Against Apple, Cirrus Bears: iPhone 7 Noise-Cancelling Earbuds Huge Opportunity",,"['AAPL', 'CRUS']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
66,2016-01-08 15:00:15,2016-01-08 15:00:15,"Hargreaves: Apple Set For Lower Trough In iPhone 6s Cycle, But 7 Set For Growth",,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
67,2016-01-08 15:35:51,2016-01-08 15:35:51,"Top Performing Industries For January 8, 2016",,"['AAPL', 'CTRP', 'CVSL', 'INVE', 'MMYT']"," 0.57 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect is 0.57."
68,2016-01-08 16:06:14,2016-01-08 16:06:15,Report: iPhone 6s And 6S Plus Supply Chain Related Orders To Fall 10 To 30% In Q1,,['AAPL']," -0.578 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.578."
69,2016-01-08 16:40:53,2016-01-08 16:40:54,Is Apple's iPhone Upgrade Plan A Fail?,,"['AAPL', 'S', 'SSNLF', 'TMUS']"," -0.12 

In these examples, the sentiment strength is calculated based on the aspect (Morrisons, IMI, and AAPL) and the context of the sentence. The values range from -1 to 1, with -1 being very negative, 0 being neutral, and 1 being very positive."
70,2016-01-08 16:49:53,2016-01-08 16:49:54,"Apple, Google Bidding for Rights to LiveStream London NFL Games -Reuters",,"['AAPL', 'GOOGL']"," 0.21 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength of this statement is 0.21."
71,2016-01-08 17:00:53,2016-01-08 17:00:53,Argus: Netflix Facing A New Wave Of Competition,,"['AAPL', 'CMCSA', 'GOOG', 'NFLX', 'TWX']"," 0.12 

In the given sentence, ""Argus: Netflix Facing A New Wave Of Competition"", the aspect is ""AAPL"". The sentiment strength for this sentence would be 0.12."
72,2016-01-08 18:30:45,2016-01-08 18:30:46,"Pacific Crest Cuts Qorvo On Apple, Samsung And China Doldroms",,"['AAPL', 'QRVO']"," -0.21 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.21."
73,2016-01-08 18:52:36,2016-01-08 18:52:36,Update: Apple And Google Competing For NFL Partnership,,"['AAPL', 'GOOG', 'YHOO']"," 0.12 

In the given sentence, ""Update: Apple And Google Competing For NFL Partnership"", the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
74,2016-01-08 18:05:13,2016-01-08 19:10:31,EXCLUSIVE: Munster Says Apple Buying Tesla 'Makes A Lot Of Sense',,"['AAPL', 'TSLA']"," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect being analyzed."
75,2016-01-08 19:23:56,2016-01-08 19:23:56,"Apple Still Has Multiple Levers In Place, Emerging Markets Are Key",,['AAPL']," 0.25 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
76,2016-01-08 19:50:54,2016-01-08 19:50:54,Canaccord: Apple Worth $146,,['AAPL']," 0.57 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's interpretation of the text."
77,2016-01-08 21:30:51,2016-01-08 21:30:51,Cardinal Bank Offers Apple Pay On Mobile Services,,"['AAPL', 'CFNL']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
78,2016-01-09 18:29:30,2016-01-09 18:29:30,"EXCLUSIVE: Munster Says Apple Prefers Competition Rather Than Acquisition Of Fitbit, GoPro",,"['AAPL', 'FIT', 'GPRO', 'TSLA']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is 0.12."
79,2016-01-11 00:38:06,2016-01-11 00:38:06,Mike Khouw's Apple Inc. Trade,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this aspect in the context of the sentence is 0.12."
80,2016-01-11 11:10:25,2016-01-11 11:10:26,"Mizuho Securities Upgrades Apple to Buy, Lowers PT to $120.00",,['AAPL']," 0.567 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
81,2016-01-11 11:33:27,2016-01-11 11:33:28,"Brean Capital Likes Apple Setup Into 2016, Sees Material Upside To iPhone, Sees Apple Dec Quarter EPS $3.35",,['AAPL']," 0.78 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.78, which indicates a positive sentiment towards Apple Inc."
82,2016-01-11 12:37:40,2016-01-11 12:37:40,"Mizuho Upgrades Apple To Buy, Says Survey Of 1000 Customers Indicates Healthy Ecosystem & Loyal Customers Likely To Upgrade in Next Few Years",,['AAPL']," 0.78 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.78. This indicates a positive sentiment towards Apple Inc., as Mizuho has upgraded the stock to buy and mentioned that customers are likely to upgrade in the next few years due to a healthy ecosystem and loyalty."
83,2016-01-11 13:10:49,2016-01-11 13:10:49,"Brean: Apple Supply Fears Aren't 'Draconian,' Stock Worth $170",,['AAPL']," 0.25 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect being analyzed."
84,2016-01-11 13:27:32,2016-01-11 13:27:33,"Mizuho Upgrades Apple To Buy, Sees $120 As Investors 'Missing The Forest'",,['AAPL']," 0.678 

In these examples, the sentiment strength is calculated based on the aspect (Morrisons, IMI, and AAPL) and the context of the sentence. The values range from -1 to 1, with -1 being very negative, 0 being neutral, and 1 being very positive."
85,2016-01-11 13:47:38,2016-01-11 13:47:38,Benzinga's Top Upgrades,,"['AAPL', 'DFS', 'GCO', 'GD', 'GM', 'MRO', 'NDAQ', 'OC', 'SAFM', 'WLL']"," 0.567 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
86,2016-01-11 14:00:41,2016-01-11 14:00:42,Phoenix Marketing Int'l Research Notes 38% Of Apple Pay Users Using Apple Pay At MCD Made At Least 1 Transaction Per Month For Past 5 Months,,"['AAPL', 'MCD']"," 0.27 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.27."
87,2016-01-11 14:14:15,2016-01-11 14:14:16,"Bernstein: Apple iPhone Biz 'Fundamentally Healthy,' Would Be Looking To Add Shares",,['AAPL']," 0.567 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values range from -1 (very negative) to 1 (very positive), where 0 is neutral."
88,2016-01-11 14:15:15,2016-01-11 14:15:15,"Susquehanna Downgrades Samsung, Sees Margin Pressure And Catalysts Lacking",,"['AAPL', 'SSNLF']"," -0.21 

In this task, you need to analyze the sentiment of the given sentence with respect to the aspect provided. The sentiment strength will be a value between -1 (very negative) and 1 (very positive), where 0 is neutral. You can use any available resources or tools for analysis."
89,2016-01-11 15:25:21,2016-01-11 15:25:52,"Oppenheimer Cuts Apple Price Target 22%, Still Likes Stock Long-Term",,['AAPL']," -0.17 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this aspect in the context of the sentence is -0.17."
90,2016-01-11 15:28:26,2016-01-11 15:28:26,Chowdhry: Apple Investors Have 'Zero' Confidence In Tim Cook And Luca Maestri,,['AAPL']," -0.567 

In the given sentences, the sentiment strength is calculated based on the aspect mentioned (Morrisons, IMI, and AAPL). The values provided are the results of a sentiment analysis algorithm that measures the positive or negative sentiment associated with the aspect in each sentence."
